label	MEL_TUMOR_cpg3	PBL_cpg3	TIL_cpg3	MEL_TUMOR_cpg5	PBL_cpg5	TIL_cpg5	MEL_TUMOR_cpg4	PBL_cpg4	TIL_cpg4	MEL_TUMOR_cpg1	PBL_cpg1	TIL_cpg1	MEL_TUMOR_cpg2	PBL_cpg2	TIL_cpg2
0	0.125531915	0.453376206	0.117728532	0.183333333	0.458823529	0.125506073	0.182539683	0.458204334	0.118942731	0.126353791	0.434157562	0.169628433	0.100621118	0.428708134	0.129881154
0	0.037366548	0.760683761	0.065096953	0.038461538	0.682242991	0.0546875	0.051094891	0.693877551	0.081677704	0.090790333	0.694246575	0.092163355	0.041340782	0.760984183	0.06342311
0	0.016393443	0.76146789	0.042016807	0	0.720930233	0.02	0	0.728813559	0.048192771	0.055248619	0.681992337	0.107266436	0.009708738	0.730538922	0.060301508
1	0.018867925	0.793991416	0.033639144	0.044444444	0.690140845	0.023809524	0.029411765	0.766129032	0.024630542	0.076771654	0.7168	0.07082153	0.028481013	0.769430052	0.039387309
1	0.048387097	0.817567568	0.028653295	0.075471698	0.752941176	0.023076923	0.063157895	0.765822785	0.035874439	0.082135524	0.699708455	0.072483221	0.047945205	0.766519824	0.026565465
1	0.026041667	0.809338521	0.022727273	0	0.726190476	0.007633588	0	0.77037037	0.008928571	0.060546875	0.676821192	0.065351418	0.025316456	0.768518519	0.02661597
1	0.032520325	0.774390244	0.008602151	0.034482759	0.761363636	0	0.0390625	0.74691358	0.010033445	0.075555556	0.683558559	0.06920078	0.026442308	0.755319149	0.022288262
1	0.028391167	0.751497006	0.047493404	0.02739726	0.715789474	0.026548673	0.04137931	0.735955056	0.059907834	0.096039604	0.707853403	0.100361664	0.034862385	0.752595156	0.049079755
1	0.046153846	0.733766234	0.061919505	0.069767442	0.692307692	0.028571429	0.056074766	0.722222222	0.043478261	0.121177803	0.634090909	0.126681614	0.056962025	0.689587426	0.071428571
1	0.026246719	0.83984375	0.048543689	0.0125	0.875968992	0.018691589	0.023952096	0.859315589	0.039893617	0.094545455	0.735724744	0.093457944	0.039872408	0.807372176	0.055441478
1	0.024590164	0.802037846	0.024453024	0.01459854	0.747311828	0.017482517	0.029166667	0.76584022	0.020703934	0.083743842	0.710194731	0.080491895	0.026170799	0.77166065	0.025041736
1	0.033530572	0.764808362	0.04200542	0.066225166	0.806818182	0.034482759	0.045627376	0.764705882	0.03877551	0.082568807	0.658505155	0.09760479	0.02960969	0.724489796	0.044365572
1	0.03255814	0.760469012	0.040785498	0.040983607	0.754285714	0.02739726	0.030769231	0.713846154	0.036144578	0.072087175	0.68283344	0.086769231	0.030178326	0.734651405	0.047526673
1	0.070075758	0.708877285	0.04510451	0.089552239	0.688596491	0.037356322	0.093862816	0.696969697	0.054421769	0.111888112	0.63200871	0.088819227	0.064356436	0.682906689	0.048229088
1	0.047281324	0.705660377	0.057627119	0.060606061	0.655462185	0.020618557	0.059782609	0.666666667	0.055232558	0.09380531	0.638282387	0.115961801	0.044052863	0.671480144	0.065240642
