Mixture	CD14	CD19	CD4	CD56	CD8	P.value	Correlation	RMSE	CD14_real	CD19_real	CD4_real	CD56_real	CD8_real
CD56_1.txt.bg	0.00504720463173237	0	0	0.5765975681973	0.418355227170967	9999	0.830952253312274	0.60685355014472	0	0	0	1	0
CD56_2.txt.bg	0.00759834811108822	0	0	0.62870541833612	0.363696233552792	9999	0.823789803967402	0.599477740538896	0	0	0	1	0
CD56_3.txt.bg	0.0177748179904109	0	0	0.609180963484401	0.373044218525188	9999	0.811853273101938	0.618319744588069	0	0	0	1	0
CD56_4.txt.bg	0.0186523213589571	0.0160391189206041	0	0.768775160596137	0.196533399124302	9999	0.870256546596472	0.507311551688655	0	0	0	1	0
CD56_5.txt.bg	0.148336000345134	0.0608720168472841	0.0444949701237502	0.59567394726592	0.150623065417912	9999	0.759155178301822	0.687415182130419	0	0	0	1	0
CD56_6.txt.bg	0.0384053939122948	0	0	0.812799628101836	0.148794977985869	9999	0.859932162341306	0.514373100836393	0	0	0	1	0
CD56-PBMC-1313.bg	0	0	6.468147953118e-05	0.999935318520469	0	9999	0.964664361818545	0.264636123641843	0	0	0	1	0
CD56-PBMC-1382.bg	0.00018935866197651	0.0002297896877414	7.50483512994e-05	0.999386169322427	0.00011963397655552	9999	0.953383703084375	0.303821569851279	0	0	0	1	0
CD56-PBMC-1389.bg	0.00032415309965905	0.00013371279907568	0.00024463245158519	0.998964504704058	0.00033299694562231	9999	0.943357936442919	0.334802108752248	0	0	0	1	0
CD8_1.txt.bg	0	0.00550239207393789	0.0724304799692135	0.239690629917904	0.682376498038944	9999	0.694650038783141	0.771652925059487	0	0	0	0	1
CD8_2.txt.bg	0.0447726556663866	0.0487022435385984	0.230863148297562	0.22764332493485	0.448018627562604	9999	0.676396433943847	0.834956959808674	0	0	0	0	1
CD8_3.txt.bg	0.0469344020475703	0.0809177241541641	0.235990204550494	0.179346764092807	0.456810905154965	9999	0.651098961330716	0.855090279196221	0	0	0	0	1
CD8_4.txt.bg	0.0508499417884139	0.0828589425003299	0.245553008873685	0.193062371313584	0.427675735523987	9999	0.649338924051404	0.858778177232961	0	0	0	0	1
CD8_5.txt.bg	0.0716214376910818	0.0936077540882466	0.28510180158683	0.195436759093745	0.354232247540097	9999	0.545914082291946	0.895228163589998	0	0	0	0	1
CD8_6.txt.bg	0.0227479693998573	0.0367349655318555	0.151363635492495	0.325647272298261	0.46350615727753	9999	0.690978892462225	0.799385535464537	0	0	0	0	1
CD8-PBMC-1313.bg	0.00014391382119041	0	7.731616704872e-05	0	0.999778770011761	9999	0.893541327170749	0.563694431812352	0	0	0	0	1
CD8-PBMC-1382.bg	3.602838186901e-05	0.00017643010847731	1.53623834989e-06	0	0.999786005271304	9999	0.878757014417347	0.578610517737889	0	0	0	0	1
CD8-PBMC-1389.bg	0	0	0	0	1	9999	0.861178897027378	0.595781495501979	0	0	0	0	1
