Mixture	Mono	Bcell	CD4	CD8	NK	Mono_real	Bcell_real	CD4_real	CD8_real	NK_real
Y-3737-cfDNA	62.4326702028826	6.40462002703213	12.8719861812337	9.68876714501905	8.60195644383255	66.5283503303759	6.76647063228564	11.3743800669872	6.74566914738007	8.58512982297119
Y-3814-cfDNA	57.096152484374	9.96199238396765	11.1556158966987	10.6194091572227	11.1668300777369	60.9863582379322	10.5498442889339	9.88113278667	7.4111889272388	11.1714757592251
Y-3824-cfDNA	46.3197047019552	7.93957764475532	13.1997688585547	16.4720852799652	16.0688635147695	50.9287804327433	8.65503606882806	12.0351400090793	11.8333510889392	16.5476924004102
Y-3879-cfDNA	60.0195332437733	9.18854481964376	10.1182293794231	10.6900159060712	9.98367665108862	63.9488984895374	9.70646694661962	8.93989259746276	7.44184258686268	9.96289937951755
Y-3880-cfDNA	50.0101719811849	8.46627339511739	13.4347978551426	13.9768242334643	14.1119325350907	54.4213970760473	9.13434928929361	12.1235498047173	9.93760008622739	14.3831037437144
Y-3893-cfDNA	43.7952956835482	11.6300380651086	18.0777158769442	15.2187918603722	11.2781585140268	48.2201246804507	12.6956806555706	16.505616441324	10.9481998649596	11.6303783576951
Y-3918-cfDNA	48.9508704747277	6.29315047445562	15.8420080670741	17.7489685921616	11.165002391581	54.1604759853178	6.90341778354086	14.5351530676273	12.8308919488954	11.5700612146188
Y-3920-cfDNA	51.2733969603822	10.0404322662547	11.9091141530149	10.2526235276993	16.5244330926489	54.9675856231584	10.671880867027	10.5872057863737	7.18143533716156	16.5918923862794
Y-3925-cfDNA	52.300524137177	8.15446730300765	15.0385913907104	12.9303522598468	11.5760649092581	56.7579252948686	8.77384694097577	13.5336504857218	9.16837779708655	11.7661994813472
Y-3938-cfDNA	38.7605664816919	11.0058278758336	17.5734376995647	22.5398581972182	10.1203097456917	43.8215840845304	12.3365766327513	16.4756292031298	16.6498685823139	10.7163414972747
Y-3941-cfDNA	57.5022148084556	6.69939586554735	14.0675033402356	10.795119889584	10.9357660961775	61.7602059725559	7.13401127389092	12.5293492775838	7.57553495436639	11.000898521603
y4-YUEVRY_19_3935-cfDNA	49.0470094108347	9.5213558186121	12.6590841021	13.3088224494593	15.4637282189939	53.217332128705	10.2426739839862	11.3901692729278	9.43499928785737	15.7148253265236
y4-YUMORF_17_3654-cfDNA	35.2691334117534	7.40133352305253	30.9369892642292	15.673446935516	10.7190968654489	39.8332306516956	8.2877130272626	28.9745109866472	11.5658334347537	11.338711899641
y4-YUPARK_18_3832-cfDNA	49.7037226123754	5.66054511144317	15.644641271813	10.9762928008629	18.0147982035055	53.8305963811214	6.07816545145975	14.0505462844659	7.76707737446243	18.2736145084905
y4-YUPARK_18_3856-cfDNA	57.0795533071488	6.55995058099099	14.7611900089752	10.7480730691984	10.8512330336866	61.3692511436327	6.9926986566021	13.1606989520697	7.55027103285787	10.9270802148376
