Mixture	CD14	CD19	CD4	CD56	CD8	Eos	Neu	P.value	Correlation	RMSE	CD14_real	CD19_real	CD4_real	CD56_real	CD8_real
CD4_4.txt.bg	0	0.00890930806346596	0.981915806040188	0.00917488589634622	0	0	0	9999	0.994825979568363	0.102670604335195	0	0	1	0	0
CD4_5.txt.bg	0.0181029782761639	0.00119242244458047	0.950044221388514	0	0.025195155127237	0	0.00546522276350417	9999	0.993166235906074	0.117327945053198	0	0	1	0	0
CD4_6.txt.bg	0	0	0.974054911685696	0.00691080645657318	0	0.00862765278233252	0.0104066290753978	9999	0.993806524611185	0.111594260049656	0	0	1	0	0
CD4-PBMC-1313.bg	0	0	0.999074312909384	0	0	0.00092568709061569	0	9999	0.821536306017581	0.603372680224045	0	0	1	0	0
CD4-PBMC-1382.bg	0	0	0.848405573466715	0	0.118196025360937	0	0.0333984011723476	9999	0.899521536216501	0.439402167474377	0	0	1	0	0
CD4-PBMC-1389.bg	0	0	0.951126127443236	0	0.0382434010084912	0	0.0106304715482732	9999	0.820194841508152	0.598685469551973	0	0	1	0	0
CD56_1.txt.bg	0	0	0	0.949655985626586	0.048174659088173	0.00216935528524123	0	9999	0.984619943835013	0.204664983683211	0	0	0	1	0
CD56_2.txt.bg	0.0117297084030095	0.00600707683018719	0	0.977389368076858	0	0.00487384668994543	0	9999	0.981570203129706	0.223793146267149	0	0	0	1	0
CD56_3.txt.bg	0.0292504804638297	0	0.00338384705339645	0.917947889735118	0.0426393616128468	0.00677842113480911	0	9999	0.990909587047758	0.201670495602526	0	0	0	1	0
CD56_4.txt.bg	0	0.0094121804960298	0.022192007909903	0.968395811594067	0	0	0	9999	0.990139037178959	0.186021509302551	0	0	0	1	0
CD56_5.txt.bg	0.06541813000202	0.0220642065145704	0.106390623481512	0.806127040001898	0	0	0	9999	0.98198976823967	0.302277814497785	0	0	0	1	0
CD56_6.txt.bg	0	0	0	0.952634998438002	0	0	0.0473650015619983	9999	0.968594303184717	0.282325049391263	0	0	0	1	0
CD56-PBMC-1313.bg	0	0	0	1	0	0	0	9999	0.813824162126761	0.585332168363087	0	0	0	1	0
CD56-PBMC-1382.bg	0	0	0	0.961015023674567	0	0.0271987906869288	0.0117861856385047	9999	0.708434384049751	0.71767523911526	0	0	0	1	0
CD56-PBMC-1389.bg	0	0	0	0.944163228651736	0	0.00542526813810999	0.050411503210154	9999	0.813652292105953	0.580517653642618	0	0	0	1	0
CD8_1.txt.bg	0	0.0163121688866045	0.0418695876305829	0.318593561988681	0.608879156615169	0.00010511652870555	0.0142404083502564	9999	0.972228190820454	0.262349016155651	0	0	0	0	1
