Mixture	NaiveCD4	NaiveCD8	nB	NK	PC	Mono	M0	M1	M2	iDC	mDC	PMN	cm8	em8	Eo	Tregs	em4	ed8	Mg	cm4	Er	mB	CD8TIL
Y-3735-cfDNA	110.98026560607151	64.4861984212045	217.5428327946002	297.6133552025257	0	402.1772611289569	138.20663965565248	379.6325885214655	278.50912386965734	158.46292380614494	120.50559250167814	1518.3257107389977	144.36742804697454	154.26436893342049	1667.6188324748207	88.80032143448305	212.00987599323452	341.3165773340146	773.7602102370896	103.00355172634585	728.4087622793066	335.16800473576194	9.93475
Y-3737-cfDNA	437.16227494641697	297.56580610117965	888.6711092781104	963.899718326299	0	1756.7886037742237	509.705471429138	1337.2349720235034	1084.2664425776006	614.3361649263994	498.8893413663556	11224.307577041547	655.9683892846576	850.0084214433089	7730.294865193494	392.5103509953076	1063.024007539244	1298.8858826844514	2008.667064610301	511.89872589673416	1758.44098289293	1150.6527615261284	49.962258333333324
Y-3814-cfDNA	65.69997123331973	40.660179864980826	114.85762821865816	151.01218826549197	0	309.5548619767308	79.215392431278	208.52376324849618	178.09272909692348	90.82147776432805	103.17040677044503	1002.5489478080667	87.59867731599027	136.699907485632	1112.3481803483971	63.30604658564693	158.49492222672933	262.4232503501825	324.655615520336	72.18647086630183	315.4791899377202	179.84790082537745	9.414888888888889
Y-3824-cfDNA	719.222930601141	480.5886510979775	1288.1415644174886	1783.087877793006	0	2290.116992328615	688.4443714915686	2123.227571901024	1608.0045383544796	796.6153776798601	742.2719549105227	6610.717671679312	1038.8830465256456	1316.0822051854632	10687.874907047377	622.1016542265533	1513.4061712369994	2449.189888276999	4546.343172022924	743.0852067781593	4286.252852244836	1698.8596682675302	77.83762500000002
Y-3879-cfDNA	61.441359122663506	47.343771765107185	136.74497644168682	192.48404508925344	0	226.1583550592864	73.7734050023055	199.7281266669794	170.34686954100493	82.92120814796763	88.51053287279422	1079.8894911320963	97.19177658758531	100.78733089958864	1009.4181463617764	53.390341249733765	139.88448726027914	207.145734748368	355.91706465223336	63.581513176254944	337.21855899249863	170.23474130576736	6.755138888888888
Y-3880-cfDNA	37.47704219907783	27.794708257132978	93.21634113588343	109.6438101100797	0	146.78438301656206	44.780083773633784	96.78645420125686	94.71638650951927	53.31495265478736	64.83275433816915	676.8733411374601	60.56855905766392	86.84269339007612	561.2041868520514	45.45853379889948	96.51003190964713	142.29648961881	194.5657907570348	48.90494062530339	171.09257228869734	119.71607181281344	1.1372083333333334
Y-3893-cfDNA	96.91422488968718	52.45452351017975	157.12919321434975	197.88415777818386	0	294.1684495389973	77.22443037900102	231.26708680249473	213.65778338225613	106.40115035269488	78.15563824472923	817.6856150595852	129.25403053935858	157.4462899844891	1286.500903823832	72.71022062200215	218.92613771056315	267.5989892623949	356.02842107216424	114.15104571752711	329.0119099064752	219.26009613782585	8.349375
Y-3918-cfDNA	48.79568178190612	28.368586320377265	80.51517954703714	80.29859783463999	0	125.02341156972751	40.87105729629741	113.21011654780479	104.04129438381952	43.89848552514738	47.75939842512793	468.42116932155204	56.02762106793642	68.5175434952922	595.0518043328984	34.680048656540855	109.26044674138424	132.77769773303916	120.54045213280659	56.26197432826642	88.9847997787437	107.9446951392389	3.4918888888888886
Y-3920-cfDNA	29.555344272778548	17.978149817234097	59.30947102984734	65.67002189179624	0	115.08013113880625	27.444617702132177	64.92054633764442	60.790485374125744	21.09407842846438	31.02168418379866	358.06174850106	29.665801847455953	51.47318241994487	385.24309767133553	21.01289933388747	61.937436458789406	96.24963274325452	122.28169425511012	31.08928351216601	107.55448792242025	55.574112243019584	1.5215833333333333
Y-3925-cfDNA	54.87195651527975	33.727466553313235	80.420190710234	115.74106062858766	0	189.35617022241493	43.15734154844374	125.75906515917382	100.26122349641102	52.041239301383094	65.42815131818912	523.6004049744112	70.10305167228695	84.84450271370874	840.0222220595143	49.276944867575	104.40206087336055	138.81581099813624	146.7174779797895	41.31416607808292	133.35707025796484	114.14784104758778	4.085555555555556
