Mixture	NaiveCD4	NaiveCD8	nB	NK	PC	Mono	M0	M1	M2	iDC	mDC	PMN	cm8	em8	Eo	Tregs	em4	ed8	Mg	cm4	Er	mB	CD8TIL
Y-3735-cfDNA	2.408612237488372	2.0831119069669817	2.2922440944330704	2.8623320078566814	0	5.61972218438469	6.3116842904954895	6.004856818445211	3.423457209254281	5.701285478617792	3.5410891789182406	10.43007862187879	2.840238337956943	2.464863986197358	4.294441770972365	2.6045484085087134	2.9818372279828194	2.556975712321711	13.588699255784345	2.6449607057163553	10.810722563147126	1.9845740515939065	2.5496639510787746
Y-3737-cfDNA	2.31042654974251	2.340761742254776	2.2802659645373202	2.257500238919248	0	5.977852573766736	5.668446026500115	5.1508067564766	3.2455615831994007	5.382444566509896	3.569950939038323	18.77632333860724	3.1426559478024245	3.3073405952909405	4.847684510347047	2.8034794082525076	3.6408205507251283	2.369564735781067	8.590289759553999	3.2009540024732024	6.355295055803309	1.6591184742708722	3.122456680147312
Y-3814-cfDNA	2.354453335549231	2.1687969846242914	1.9983875076481437	2.3981888038456143	0	7.142310771256236	5.973511676324093	5.446261669942622	3.6147265175517926	5.395571676969954	5.005973933021435	11.371872992901338	2.8456854524761077	3.606611244816662	4.729927188690547	3.0659627078097174	3.680840280177611	3.246200276719833	9.414520220037412	3.0607412284081126	7.731327259567113	1.7583847433824598	3.989743528279667
Y-3824-cfDNA	2.627940991745109	2.6136672270623538	2.2851285275432747	2.887162936046068	0	5.387483568762367	5.293173975630211	5.654141471817073	3.327696440638897	4.8253049366096255	3.6721775318916996	7.64543501096199	3.440988175381432	3.5403101064903875	4.633746220618567	3.0719221634517617	3.5835568320130267	3.0890336119303754	13.442023920246127	3.2124516142720014	10.70997120265672	1.6935312542135632	3.3631522800173737
Y-3879-cfDNA	2.3079603433461706	2.6470069392843634	2.4938703009674903	3.204119665795841	0	5.46961012031391	5.831262445485607	5.467953320896905	3.624148906058058	5.16365411576683	4.501642649423663	12.839507057331442	3.309493147353668	2.787274080906381	4.499118529576938	2.7103600802461982	3.4052091792555252	2.68591098750612	10.8184914129424	2.8258186255831945	8.662383931783491	1.7446139841092854	3.000590176066517
Y-3880-cfDNA	2.323495971095233	2.5648586339406125	2.805844654302371	3.0123622548710984	0	5.859123782673966	5.841935379725582	4.373299668521013	3.3258762449351096	5.479609856465423	5.442264204515818	13.282674582531314	3.403990152138483	3.9638398943411097	4.128443231824677	3.808805602371427	3.8775355402005363	3.045221551011036	9.760980943839105	3.5873623645285013	7.253810466374796	2.0249425209074374	0.8337224988853399
Y-3893-cfDNA	3.1812827023961536	2.562845236878061	2.5041859372099173	2.8785397208147376	0	6.217088283010381	5.3341433404959195	5.532820856764979	3.972261252379888	5.790086542959515	3.4736302210637975	8.49576717653356	3.8461238876855743	3.8049887127682043	5.010875724333953	3.2255736825190326	4.657137544309055	3.0321263766202775	9.456921218201625	4.433436856352961	7.385583094489831	1.9636223361481908	3.2409592960643656
Y-3918-cfDNA	3.509528598742379	3.0368950737527665	2.8115131258808357	2.5593036702641516	0	5.789418524208118	6.1855525240275595	5.934316079223115	4.238161383983155	5.234086880678296	4.6508761670705505	10.663638560672899	3.652868306265588	3.6280677080024546	5.078213673851107	3.3708844113213536	5.092570842303436	3.2964054357058106	7.0153699301584425	4.787714659196927	4.37664836165185	2.1181286053081743	2.9698374777310494
Y-3920-cfDNA	3.0381688004989438	2.750714834787207	2.96002161205021	2.991503397934091	0	7.616447110642957	5.936470220409552	4.863804212585317	3.539287449626275	3.594681592204333	4.317673342682584	11.65025180884005	2.7643714928092997	3.8954990340017965	4.698936131545919	2.919164871362508	4.126062623240041	3.4152543274638507	10.171562918163993	3.781224698347838	7.560714620965895	1.5585905432415672	1.8495943565957775
Y-3925-cfDNA	3.339183959140033	3.0549092778330995	2.376019238288756	3.121215967396138	0	7.419003339528294	5.526368182427528	5.577598410482528	3.455630097330735	5.250026847444016	5.390922423498817	10.085359434426595	3.8671521616731375	3.8011920490771733	6.065540035722049	4.052569215114088	4.117235258588745	2.9159288761359523	7.224738264470179	2.974642553184485	5.549634452536998	1.895139691502198	2.9399902641984528
Y-3938-cfDNA	3.8671376419323096	3.744200708482247	2.946108581571026	2.302134544975477	0	5.11599187738321	4.952625594900539	5.352677096845608	4.562790722717636	4.205496445778944	3.986525903649021	6.315867270400585	5.858285023307884	5.855132773379964	4.0519531264675575	4.4416688056135705	6.428794107628369	3.8218415435563107	5.982670935097322	5.653982673171325	4.787323193439382	2.848850709953394	2.9179407197483163
