Average value	Line count
0.85	202
0.65	4728
0.675	4574
0.775	310
0.7250000000000001	1529
0.775	822
0.7250000000000001	528
0.65	4782
0.75	3322
0.8	367
0.7250000000000001	3576
0.725	3437
0.7749999999999999	472
0.65	9347
0.6749999999999999	552
0.65	482
0.6	8326
0.625	1715
0.725	1788
0.65	5390
0.75	388
0.7250000000000001	2400
0.65	5477
0.6000000000000001	15597
0.675	3537
0.625	14947
0.7000000000000001	608
0.6749999999999999	5097
0.65	3552
0.6499999999999999	2614
0.55	14912
0.625	9780
0.6	9271
0.7249999999999999	4606
0.675	5716
0.75	587
0.775	662
0.7000000000000001	1578
0.625	3145
0.675	1572
0.7000000000000001	2555
0.7	4902
0.7250000000000001	1800
0.625	9671
0.7999999999999999	1453
0.8	1347
0.825	663
0.725	4461
0.7	578
0.625	8713
0.775	709
0.675	10368
0.75	2091
0.75	1435
0.775	1001
0.675	6867
0.675	2689
0.725	1117
0.75	2218
0.75	2446
0.5	26466
0.65	6503
0.675	3055
0.575	10015
0.7499999999999999	3267
0.775	479
0.65	12150
0.625	5296
0.7	1858
0.675	727
0.7250000000000001	606
0.6	15967
0.7	5008
0.625	7104
0.6	619
0.8	700
0.65	10942
0.725	2121
0.7749999999999999	1421
0.75	1635
0.7	3544
0.775	1293
0.7250000000000001	4290
0.7000000000000001	1552
0.7	1470
0.6	8646
0.7250000000000001	2487
0.675	5121
0.65	3041
0.65	1610
0.7000000000000001	1850
0.6499999999999999	8885
0.7749999999999999	1950
0.825	1069
0.85	507
0.7	8728
0.65	8382
0.7250000000000001	1767
0.6	9966
0.675	613
0.6	18334
0.675	1613
0.6	5332
0.7	726
0.7250000000000001	588
0.65	5762
0.65	7099
0.6	10039
0.625	619
0.8	1325
0.7000000000000001	5037
0.725	2488
0.7250000000000001	4770
0.8	668
0.7	4487
0.7250000000000001	1636
0.6749999999999999	3544
0.725	1552
0.7250000000000001	1470
0.675	3038
0.675	1604
0.7500000000000001	716
0.6499999999999999	12134
0.675	1855
0.625	8912
0.7749999999999999	2186
0.775	2434
0.85	940
0.75	4574
0.625	12667
0.75	479
0.675	3551
0.625	2622
0.6499999999999999	3150
0.575	14769
0.625	9247
0.575	20914
0.7	610
0.7250000000000001	1821
0.7000000000000001	3449
0.65	3139
0.7	1570
0.7	1803
0.6	9728
0.7750000000000001	706
0.625	13377
0.7999999999999999	1287
0.75	4218
0.825	1245
0.775	3289
0.775	1344
0.7250000000000001	4936
0.75	2430
0.7000000000000001	4956
0.75	1001
0.6499999999999999	6872
0.8250000000000001	509
0.675	9008
0.7	2688
0.75	1117
0.525	25404
