Mixture	mincpg	totalreadCT	totalreadnonCT	acceptedtrueCTcount	acceptedfalseCTcount	true_pos/all_pos	rejectedtrueCTcount	rejectedfalseCTcount	true_neg/all_neg	false_neg/all_pos	false_pos/all_neg	F1-score	totalTestedreadCT	totalTestedreadnonCT	totalTestedread	totalread	mNeu_real_rdtotal	mNeu_real_rdtested	mNeu_real
mNeuallrange_NR_81205_insilmix39	3	147	39403	4	11	0.26666666666666666	1472	0	1.0	0.0	0.007417397167902898	0.42105263157894735	4	1483	1487	39550	0.003716814159292035	0.0026899798251513113	0.369594678
mNeuallrange_NR_81205_insilmix59	3	3924	35589	115	9	0.9274193548387096	1315	9	0.9932024169184291	0.07258064516129033	0.006797583081570997	0.9274193548387096	124	1324	1448	39513	0.09930908814820437	0.0856353591160221	9.971408149
mNeuallrange_NR_81205_insilmix25	3	20	39529	0	13	0.0	1529	0	1.0	-1.0	0.008430609597924774	0.0	0	1542	1542	39549	0.0005057017876558194	0.0	0.050505673
mNeuallrange_NR_81205_insilmix56	3	11819	27614	330	9	0.9734513274336284	1004	23	0.9776046738072056	0.06515580736543909	0.008884501480750245	0.9537572254335259	353	1013	1366	39433	0.2997235817716126	0.25841874084919475	29.9567505
mNeuallrange_NR_81205_insilmix36	3	90	39438	2	11	0.15384615384615385	1445	0	1.0	0.0	0.007554945054945055	0.26666666666666666	2	1456	1458	39528	0.0022768670309653923	0.0013717421124828533	0.225499982
mNeuallrange_NR_81205_insilmix45	3	391	39216	14	19	0.42424242424242425	1411	1	0.9992917847025496	0.06666666666666668	0.013286713286713287	0.5833333333333334	15	1430	1445	39607	0.009871992324589088	0.010380622837370242	0.994087214
mNeuallrange_NR_81205_insilmix27	3	20	39465	0	11	0.0	1498	0	1.0	-1.0	0.00728959575878065	0.0	0	1509	1509	39485	0.0005065214638470307	0.0	0.050511273
mNeuallrange_NR_81205_insilmix54	3	19724	19751	570	3	0.9947643979057592	795	41	0.9509569377990432	0.06710310965630115	0.003759398496240601	0.9628378378378378	611	798	1409	39475	0.49965801139962	0.43364088005677787	49.99075113
mNeuallrange_NR_81205_insilmix34	3	90	39519	2	12	0.14285714285714285	1434	0	1.0	0.0	0.008298755186721992	0.25	2	1446	1448	39609	0.0022722108611679163	0.0013812154696132596	0.225405545
mNeuallrange_NR_81205_insilmix47	3	35557	3933	1076	0	1.0	153	71	0.6830357142857143	0.06190061028770706	0.0	0.9680611785874944	1147	153	1300	39490	0.9004051658647759	0.8823076923076923	90.00209522
mNeuallrange_NR_81205_insilmix48	3	35557	3941	1076	0	1.0	152	71	0.6816143497757847	0.06190061028770706	0.0	0.9680611785874944	1147	152	1299	39498	0.9002227960909414	0.8829869130100076	90.00542313
mNeuallrange_NR_81205_insilmix28	3	33	39467	1	12	0.07692307692307693	1428	0	1.0	0.0	0.008333333333333333	0.14285714285714285	1	1440	1441	39500	0.0008354430379746836	0.0006939625260235947	0.082547896
mNeuallrange_NR_81205_insilmix19	3	7	39507	0	19	0.0	1426	0	1.0	-1.0	0.01314878892733564	0.0	0	1445	1445	39514	0.00017715240168041706	0.0	0.017234375
mNeuallrange_NR_81205_insilmix16	3	4	39594	0	16	0.0	1471	0	1.0	-1.0	0.010759919300605244	0.0	0	1487	1487	39598	0.0001010152027880196	0.0	0.00985428
