Mixture	CD14	CD19	CD4	CD56	CD8	Eos	Neu	P-value	Correlation	RMSE
CD8_1.txt.bg	0.00000000000000000	0.01631216888660446	0.04186958763058294	0.31859356198868111	0.60887915661516934	0.00010511652870555	0.01424040835025641	9999.00000000000000000	0.97222819082045364	0.26234901615565126
renWB_2.txt.bg	0.09932745740691810	0.05878639989327374	0.14412894203637655	0.07655956131765176	0.03403969755392435	0.00000000000000000	0.58715794179185543	9999.00000000000000000	0.90616678210349211	0.55560968486942031
CD56-PBMC-1389.bg	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.94416322865173596	0.00000000000000000	0.00542526813810999	0.05041150321015399	9999.00000000000000000	0.81365229210595302	0.58051765364261787
CD19_4.txt.bg	0.00000000000000000	0.99556974488896266	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00443025511103745	9999.00000000000000000	0.98823277691950062	0.17129314023033967
CD14_5.txt.bg	0.95338912009541776	0.00259902525724715	0.00855117330184446	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.03546068134549075	9999.00000000000000000	0.99464734952512146	0.11082130358561643
CD56_5.txt.bg	0.06541813000202001	0.02206420651457040	0.10639062348151175	0.80612704000189783	0.00000000000000000	0.00000000000000000	0.00000000000000000	9999.00000000000000000	0.98198976823966955	0.30227781449778518
CD4-PBMC-1382.bg	0.00000000000000000	0.00000000000000000	0.84840557346671541	0.00000000000000000	0.11819602536093707	0.00000000000000000	0.03339840117234760	9999.00000000000000000	0.89952153621650088	0.43940216747437716
CD14_2.txt.bg	0.99258993407027363	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00741006592972640	0.00000000000000000	9999.00000000000000000	0.99097849216450551	0.14073811881057521
renPBMC_2.txt.bg	0.31483291894205045	0.10146515796023202	0.29800718567752094	0.12892628986828611	0.12202634877683051	0.00000000000000000	0.03474209877508022	9999.00000000000000000	0.92743096960509763	0.57622840845313661
CD8-PBMC-1382.bg	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.18052426438733804	0.78504238026360762	0.00000000000000000	0.03443335534905449	9999.00000000000000000	0.84956497925625707	0.53116511912212871
CD14_1.txt.bg	0.96922565722859222	0.00000000000000000	0.00387769553819761	0.01546375091169913	0.00000000000000000	0.00000000000000000	0.01143289632151087	9999.00000000000000000	0.99395190232968245	0.11627647854817239
CD8_5.txt.bg	0.00528816283141722	0.00000000000000000	0.04473714026126861	0.00000000000000000	0.94716520104281376	0.00280949586450044	0.00000000000000000	9999.00000000000000000	0.98261952388270157	0.19240813335753779
Eos_2.txt.bg	0.01057821531537791	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00329472580923777	0.95154782138978677	0.03457923748559757	9999.00000000000000000	0.99578074850187803	0.11890254846514843
CD4_2.txt.bg	0.00000000000000000	0.00000000000000000	0.95412148799349461	0.00000000000000000	0.02959305487820979	0.01628545712829557	0.00000000000000000	9999.00000000000000000	0.99474598741152276	0.10270562084138148
CD19_1.txt.bg	0.01097914788092082	0.96528463654338892	0.00184137962422862	0.01578258653776948	0.00611224941369214	0.00000000000000000	0.00000000000000000	9999.00000000000000000	0.98307932467972825	0.19886757761609108
accWB_3045.txt.bg	0.06611536869119414	0.04044721409004146	0.11138055637671310	0.05798720678376488	0.02860154129331257	0.00000000000000000	0.69546811276497389	9999.00000000000000000	0.93356682511577915	0.46224580147147870
CD14-PBMC-1313.bg	0.98769336008964115	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.01230663991035887	0.00000000000000000	9999.00000000000000000	0.88793310075287701	0.47568875085287732
Eos_6.txt.bg	0.00000000000000000	0.00892486802862806	0.00000000000000000	0.00000000000000000	0.00275397401055512	0.98832115796081688	0.00000000000000000	9999.00000000000000000	0.98707146084706998	0.18589805017996588
renWB_6.txt.bg	0.02726884654657327	0.06880292050590708	0.16698956818594299	0.03945941895076486	0.06180556870726855	0.00000000000000000	0.63567367710354328	9999.00000000000000000	0.91160114433543082	0.53704469867939109
CD14_4.txt.bg	0.94856770057862216	0.01665783672217617	0.01025597235016684	0.01229107402824328	0.00000000000000000	0.01222741632079153	0.00000000000000000	9999.00000000000000000	0.98165645255723066	0.19534781065817702
CD8-PBMC-1389.bg	0.01823549733118110	0.04967396151721909	0.00000000000000000	0.27275836074687099	0.57232517091432733	0.05056687334695188	0.03644013614344958	9999.00000000000000000	0.75762568627042748	0.65333944351942574
renPBMC_4.txt.bg	0.13680314666427207	0.16880611678605897	0.35855010765994227	0.06977112770317080	0.18076158242510160	0.00000000000000000	0.08530791876145438	9999.00000000000000000	0.93842042142488236	0.55243254635677319
renWB_3.txt.bg	0.04399686001478673	0.03131348696699705	0.14436150986700569	0.02972746935614986	0.10745134649270698	0.00000000000000000	0.64314932730235375	9999.00000000000000000	0.91665519735813894	0.51694473783231132
Neu_5.txt.bg	0.00000000000000000	0.00666599758564949	0.01260779248812047	0.00000000000000000	0.02018614596998046	0.00000000000000000	0.96054006395624969	9999.00000000000000000	0.94474973698859266	0.32911662983153317
CD14_6.txt.bg	0.89651748432613321	0.00539586420634717	0.00000000000000000	0.00000000000000000	0.00769065157491186	0.00000000000000000	0.09039599989260776	9999.00000000000000000	0.99069919132206485	0.14912497239514830
CD14_3.txt.bg	0.98253732029159091	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.01746267970840919	0.00000000000000000	0.00000000000000000	9999.00000000000000000	0.99588340663063757	0.09814069966845033
renPBMC_5.txt.bg	0.25750532132206022	0.11551349485190331	0.35203080096624101	0.01357449648884256	0.10448069742153802	0.00000000000000000	0.15689518894941482	9999.00000000000000000	0.91884702868525980	0.60289653425574874
CD19-PBMC-1382.bg	0.24820966713707238	0.67909498583134198	0.05206663669800671	0.01095557617655412	0.00967313415702487	0.00000000000000000	0.00000000000000000	9999.00000000000000000	0.74297195700425622	0.67433986466668849
CD8_4.txt.bg	0.00000000000000000	0.00000000000000000	0.03484191064815432	0.00000000000000000	0.96515808935184566	0.00000000000000000	0.00000000000000000	9999.00000000000000000	0.99441742854689574	0.11793556849004672
Neu_1.txt.bg	0.00000000000000000	0.00014818900313476	0.00000000000000000	0.01542102510099290	0.00000000000000000	0.07272765056722666	0.91170313532864566	9999.00000000000000000	0.99169124472560022	0.14266342906363311
Neu_4.txt.bg	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00015643472798763	0.00000000000000000	0.04765817295278464	0.95218539231922772	9999.00000000000000000	0.99397908934295631	0.11738889314748426
CD4-PBMC-1313.bg	0.00000000000000000	0.00000000000000000	0.99907431290938431	0.00000000000000000	0.00000000000000000	0.00092568709061569	0.00000000000000000	9999.00000000000000000	0.82153630601758121	0.60337268022404489
accWB_3093.txt.bg	0.02871700441302705	0.04917968550862642	0.20584590771188466	0.10847181617623600	0.08598724223061181	0.00000000000000000	0.52179834395961411	9999.00000000000000000	0.90002576321854399	0.59932393476448598
CD4_5.txt.bg	0.01810297827616389	0.00119242244458047	0.95004422138851441	0.00000000000000000	0.02519515512723700	0.00000000000000000	0.00546522276350417	9999.00000000000000000	0.99316623590607367	0.11732794505319841
reinGran_2.txt.bg	0.00741324462066487	0.00000000000000000	0.01769428210267933	0.01501824718380035	0.00000000000000000	0.00000000000000000	0.95987422609285555	9999.00000000000000000	0.96711107924101603	0.25900614173007319
