Mixture	CD14	CD19	CD4	CD56	CD8	P-value	Correlation	RMSE
accWB_3159.txt.bg	0.68516525086827929	0.05257144817378955	0.06171550562704013	0.08796234196535745	0.11258545336553359	9999.00000000000000000	0.85976353188494958	0.51870760996271337
reinGran_4.txt.bg	0.81357531501687552	0.01532384003716842	0.00000000000000000	0.07548618640687346	0.09561465853908262	9999.00000000000000000	0.87349129601132514	0.51947529382079982
accWB_3082.txt.bg	0.57684919151499470	0.03296588491618634	0.13826507517450504	0.11593106721410409	0.13598878118020988	9999.00000000000000000	0.83071338012518459	0.58170762984186908
accWB_3177.txt.bg	0.30168162153378875	0.03877687820346047	0.41209335908338540	0.08935473009994124	0.15809341107942426	9999.00000000000000000	0.11382149926970442	1.02958131161153910
Neu_6.txt.bg	0.71789886414782533	0.02613594686664779	0.05388654232545858	0.11106145119691081	0.09101719546315755	9999.00000000000000000	0.85779205232060507	0.52232513535548819
CD4_4.txt.bg	0.07140938239028870	0.06917871321245363	0.57331947237341530	0.08766117884929268	0.19843125317454963	9999.00000000000000000	0.81059799370027030	0.69788044753899936
CD19_5.txt.bg	0.02073365718776008	0.85016160711389255	0.00000000000000000	0.02091472871743110	0.10819000698091624	9999.00000000000000000	0.93344744841750360	0.36169139893297775
S01ECGA1_naiveb.bw.bg	0.00000000000000000	0.96908345609674740	0.00000000000000000	0.00000000000000000	0.03091654390325255	9999.00000000000000000	0.96897504298926462	0.27377128505628512
accWB_3021.txt.bg	0.50993214915515250	0.03534935687775861	0.12423189906120927	0.11027838622740896	0.22020820867847055	9999.00000000000000000	0.71916990890257226	0.70960918328479283
CD56_2.txt.bg	0.00759834811108822	0.00000000000000000	0.00000000000000000	0.62870541833611993	0.36369623355279179	9999.00000000000000000	0.82378980396740198	0.59947774053889635
W653_memb.bw.bg	0.00000000000000013	0.76079806784036330	0.00000000000000000	0.00000000000000013	0.23920193215963639	9999.00000000000000000	0.82067068367161777	0.57202704204566945
CD4-PBMC-1389.bg	0.00000000000000000	0.00000000000000000	0.99996333320370057	0.00000000000000000	0.00003666679629944	9999.00000000000000000	0.96010601752732860	0.30879156629991850
BULK-PBMC-1382.bg	0.91460439711965780	0.01208659257313422	0.01850515117556300	0.02250910383117868	0.03229475530046623	9999.00000000000000000	0.87229993415555029	0.58558874523503834
CD56_1.txt.bg	0.00504720463173237	0.00000000000000000	0.00000000000000000	0.57659756819730035	0.41835522717096729	9999.00000000000000000	0.83095225331227351	0.60685355014471998
reinGran_5.txt.bg	0.77906142077648588	0.04884045655574932	0.01837008092109451	0.07715335126824761	0.07657469047842266	9999.00000000000000000	0.86645640564029192	0.52091094087973122
reinGran_6.txt.bg	0.82234397309640972	0.01880775857332980	0.01683895017845423	0.06041207690369313	0.08159724124811309	9999.00000000000000000	0.87105630848598525	0.52900020642477852
C0066P51_CD8.bw.bg	0.13284061442709993	0.11159164151085489	0.36529625859801090	0.14434551488166061	0.24592597058237364	9999.00000000000000000	0.46584614811900071	0.91406848415708741
CD8-PBMC-1313.bg	0.00014391382119041	0.00000000000000000	0.00007731616704872	0.00000000000000000	0.99977877001176074	9999.00000000000000000	0.89354132717074852	0.56369443181235190
renPBMC_6.txt.bg	0.12169780589785949	0.04861528964350025	0.22216002745654542	0.37500934638631345	0.23251753061578126	9999.00000000000000000	0.03793864013763988	1.03442177063281715
CD19-PBMC-1313.bg	0.00000000000000000	0.99884516135927903	0.00065577969099327	0.00049905894972773	0.00000000000000000	9999.00000000000000000	0.97606004929535040	0.26268746049878366
reinGran_3.txt.bg	0.82589899379588072	0.01785212317681695	0.00000000000000000	0.05414849106416159	0.10210039196314076	9999.00000000000000000	0.86965805209147495	0.53303263953772506
S017RE51_memb.bw.bg	0.00000000000000000	0.88878668661406446	0.00000000000000000	0.00000000000000000	0.11121331338593562	9999.00000000000000000	0.95165816755315613	0.31089814212259309
BULK-Tumor-1389.bg	0.19749327613146475	0.00000000000000000	0.18098632434220105	0.00000000000000000	0.62152039952633420	9999.00000000000000000	0.35569683273866565	0.93528667339562166
CD8_3.txt.bg	0.04693440204757029	0.08091772415416405	0.23599020455049352	0.17934676409280711	0.45681090515496509	9999.00000000000000000	0.65109896133071588	0.85509027919622127
BULK-PBMC-1389.bg	0.39071854416634211	0.04707248428571972	0.10640379853121930	0.13547336771573595	0.32033180530098299	9999.00000000000000000	0.50923832846825801	0.86422267421084964
