Mixture	NaiveCD4	NaiveCD8	nB	NK	PC	Mono	M0	M1	M2	iDC	mDC	PMN	cm8	em8	Eo	Tregs	em4	ed8	Mg	cm4	Er	mB	CD8TIL
Y-3735-cfDNA	2.4086122374883714	2.0831119069669812	2.2922440944330704	2.862332007856681	0	5.619722184384689	6.3116842904954895	6.004856818445211	3.4234572092542805	5.70128547861779	3.54108917891824	10.430078621878788	2.8402383379569427	2.464863986197358	4.294441770972364	2.6045484085087134	2.981837227982819	2.5569757123217105	13.588699255784341	2.6449607057163553	10.810722563147124	1.9845740515939063	2.549663951078774
Y-3737-cfDNA	2.3104265497425103	2.3407617422547764	2.280265964537321	2.2575002389192482	0	5.977852573766738	5.668446026500117	5.150806756476602	3.2455615831994016	5.382444566509897	3.5699509390383244	18.77632333860725	3.1426559478024254	3.307340595290941	4.847684510347048	2.8034794082525085	3.6408205507251297	2.3695647357810676	8.590289759554	3.2009540024732037	6.355295055803312	1.6591184742708727	3.122456680147313
Y-3814-cfDNA	2.354453335549231	2.1687969846242914	1.9983875076481437	2.3981888038456143	0	7.142310771256236	5.973511676324093	5.446261669942622	3.6147265175517926	5.395571676969954	5.005973933021435	11.371872992901338	2.8456854524761077	3.606611244816662	4.729927188690547	3.0659627078097174	3.680840280177611	3.246200276719833	9.414520220037412	3.0607412284081126	7.731327259567113	1.7583847433824598	3.989743528279667
Y-3824-cfDNA	2.627940991745109	2.6136672270623538	2.2851285275432747	2.887162936046068	0	5.387483568762367	5.293173975630211	5.654141471817073	3.327696440638897	4.8253049366096255	3.6721775318916996	7.64543501096199	3.440988175381432	3.5403101064903875	4.633746220618567	3.0719221634517617	3.5835568320130267	3.0890336119303754	13.442023920246127	3.2124516142720014	10.70997120265672	1.6935312542135632	3.3631522800173737
Y-3879-cfDNA	2.3079603433461706	2.6470069392843634	2.4938703009674903	3.204119665795841	0	5.46961012031391	5.831262445485607	5.467953320896905	3.624148906058058	5.16365411576683	4.501642649423663	12.839507057331442	3.309493147353668	2.787274080906381	4.499118529576938	2.7103600802461982	3.4052091792555252	2.68591098750612	10.8184914129424	2.8258186255831945	8.662383931783491	1.7446139841092854	3.000590176066517
Y-3880-cfDNA	2.3234959710952334	2.564858633940613	2.8058446543023714	3.012362254871099	0	5.859123782673967	5.841935379725583	4.373299668521014	3.32587624493511	5.479609856465424	5.442264204515819	13.282674582531314	3.403990152138483	3.9638398943411106	4.1284432318246775	3.8088056023714274	3.8775355402005363	3.0452215510110365	9.760980943839106	3.587362364528502	7.253810466374798	2.024942520907438	0.8337224988853401
Y-3893-cfDNA	3.181282702396154	2.562845236878062	2.5041859372099182	2.8785397208147385	0	6.217088283010383	5.33414334049592	5.532820856764981	3.97226125237989	5.790086542959517	3.4736302210637984	8.495767176533562	3.8461238876855757	3.804988712768205	5.010875724333955	3.225573682519033	4.657137544309056	3.0321263766202784	9.456921218201627	4.433436856352962	7.385583094489832	1.9636223361481913	3.240959296064366
Y-3918-cfDNA	3.509528598742379	3.0368950737527665	2.8115131258808357	2.5593036702641516	0	5.789418524208118	6.1855525240275595	5.934316079223115	4.238161383983155	5.234086880678296	4.6508761670705505	10.663638560672899	3.652868306265588	3.6280677080024546	5.078213673851107	3.3708844113213536	5.092570842303436	3.2964054357058106	7.0153699301584425	4.787714659196927	4.37664836165185	2.1181286053081743	2.9698374777310494
Y-3920-cfDNA	3.0381688004989438	2.750714834787207	2.96002161205021	2.991503397934091	0	7.616447110642957	5.936470220409552	4.863804212585317	3.539287449626275	3.594681592204333	4.317673342682584	11.65025180884005	2.7643714928092997	3.8954990340017965	4.698936131545919	2.919164871362508	4.126062623240041	3.4152543274638507	10.171562918163993	3.781224698347838	7.560714620965895	1.5585905432415672	1.8495943565957775
Y-3925-cfDNA	3.339183959140033	3.0549092778330995	2.376019238288756	3.121215967396138	0	7.419003339528294	5.526368182427528	5.577598410482528	3.455630097330735	5.250026847444016	5.390922423498817	10.085359434426595	3.8671521616731375	3.8011920490771733	6.065540035722049	4.052569215114088	4.117235258588745	2.9159288761359523	7.224738264470179	2.974642553184485	5.549634452536998	1.895139691502198	2.9399902641984528
Y-3938-cfDNA	3.8671376419323096	3.7442007084822473	2.9461085815710266	2.302134544975477	0	5.11599187738321	4.952625594900539	5.352677096845609	4.5627907227176365	4.205496445778944	3.9865259036490213	6.315867270400586	5.858285023307885	5.855132773379965	4.0519531264675575	4.4416688056135705	6.42879410762837	3.821841543556311	5.982670935097324	5.653982673171326	4.7873231934393825	2.8488507099533944	2.9179407197483167
Y-3941-cfDNA	2.218394567723817	2.328586724666187	2.3558909054876374	2.6412172152608044	0	7.930032388964076	6.228345460886805	5.57393076354605	3.9266081261409624	5.570018200400882	4.44330782204079	13.177104355382745	3.4940083030427003	3.61988700135048	5.264636397866585	3.220619358238393	3.971785309736008	3.0239967407087556	7.420895256676699	3.562333937309371	5.346312204932668	1.7502499199801582	2.931839039657428
